dataset_index,smiles,MolWt,MolLogP,TPSA,NumRotatableBonds,AromaticAtomFraction,HeavyAtomCount,NumRings,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,FractionCSP3,NumHDonors,NumHAcceptors
112,CCCCC,72.151000,2.196500,0.000000,2.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
113,c1ccccc1O,94.113000,1.392200,20.230000,0.000000,0.857143,7.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000
114,Nc3ccc2cc1ccccc1cc2c3 ,193.249000,3.575200,26.020000,0.000000,0.933333,15.000000,3.000000,3.000000,0.000000,1.000000,0.000000,1.000000,1.000000
115,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,180.167000,-1.039700,72.680000,0.000000,0.692308,13.000000,2.000000,2.000000,0.000000,6.000000,0.285714,1.000000,3.000000
116,c1ccc2cnccc2c1,129.162000,2.234800,12.890000,0.000000,1.000000,10.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,1.000000
118,CCCCCCc1ccccc1,162.276000,3.809400,0.000000,5.000000,0.500000,12.000000,1.000000,1.000000,0.000000,0.000000,0.500000,0.000000,0.000000
119,Clc1ccccc1c2ccccc2,188.657000,4.007000,0.000000,1.000000,0.923077,13.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
122,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,250.339000,4.953600,0.000000,0.000000,0.545455,11.000000,1.000000,1.000000,0.000000,5.000000,0.000000,0.000000,0.000000
125,CC(=O)OCC(COC(=O)C)OC(=O)C,218.205000,0.044300,78.900000,5.000000,0.000000,15.000000,0.000000,0.000000,0.000000,6.000000,0.666667,0.000000,6.000000
126,CCCCc1c(C)nc(nc1O)N(C)C ,209.293000,1.899220,49.250000,4.000000,0.400000,15.000000,1.000000,1.000000,0.000000,4.000000,0.636364,1.000000,4.000000
127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,434.294000,6.317080,59.320000,6.000000,0.413793,29.000000,3.000000,2.000000,1.000000,7.000000,0.272727,0.000000,4.000000
129,CCCCCCCBr,179.101000,3.351700,0.000000,5.000000,0.000000,8.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
131,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,380.456000,1.873700,94.830000,2.000000,0.000000,27.000000,4.000000,0.000000,4.000000,6.000000,0.809524,3.000000,5.000000
134,CC1=CCC(CC1)C(C)=C,136.238000,3.308900,0.000000,1.000000,0.000000,10.000000,1.000000,0.000000,1.000000,0.000000,0.600000,0.000000,0.000000
135,C1Cc2ccccc2C1,118.179000,2.175300,0.000000,0.000000,0.666667,9.000000,2.000000,1.000000,1.000000,0.000000,0.333333,0.000000,0.000000
136,CC(C)(C)c1ccc(O)cc1,150.221000,2.689700,20.230000,0.000000,0.545455,11.000000,1.000000,1.000000,0.000000,1.000000,0.400000,1.000000,1.000000
138,Clc1cccc(I)c1,238.455000,2.944600,0.000000,0.000000,0.750000,8.000000,1.000000,1.000000,0.000000,2.000000,0.000000,0.000000,0.000000
139,Brc1cccc2ccccc12,207.070000,3.602300,0.000000,0.000000,0.909091,11.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
140,CC/C=C/C,70.135000,1.972500,0.000000,1.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,0.000000
141,Cc1cccc(C)n1,107.156000,1.698440,12.890000,0.000000,0.750000,8.000000,1.000000,1.000000,0.000000,1.000000,0.285714,0.000000,1.000000
143,Nc1cccc2ccccc12,143.189000,2.422000,26.020000,0.000000,0.909091,11.000000,2.000000,2.000000,0.000000,1.000000,0.000000,1.000000,1.000000
144,Cc1cccc(C)c1,106.168000,2.303440,0.000000,0.000000,0.750000,8.000000,1.000000,1.000000,0.000000,0.000000,0.250000,0.000000,0.000000
146,CO,32.042000,-0.391500,20.230000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.276000,1.185000,75.270000,4.000000,0.000000,16.000000,1.000000,0.000000,1.000000,5.000000,0.727273,2.000000,3.000000
148,CCC(=O)C,72.107000,0.985400,17.070000,1.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.750000,0.000000,1.000000
149,Fc1c[nH]c(=O)[nH]c1=O ,130.078000,-0.797700,65.720000,0.000000,0.666667,9.000000,1.000000,1.000000,0.000000,5.000000,0.000000,2.000000,2.000000
150,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,266.257000,-1.375000,126.650000,2.000000,0.473684,19.000000,3.000000,2.000000,1.000000,8.000000,0.454545,4.000000,7.000000
152,CCCCCCO,102.177000,1.559000,20.230000,4.000000,0.000000,7.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
155,CCCOC(=O)C,102.133000,0.959500,26.300000,2.000000,0.000000,7.000000,0.000000,0.000000,0.000000,2.000000,0.800000,0.000000,2.000000
156,Oc2ccc1CCCCc1c2 ,148.205000,2.271000,20.230000,0.000000,0.545455,11.000000,2.000000,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000
157,NC(=O)CCl ,93.513000,-0.289500,43.090000,1.000000,0.000000,5.000000,0.000000,0.000000,0.000000,3.000000,0.500000,1.000000,1.000000
158,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,413.000000,4.494100,27.690000,4.000000,0.375000,16.000000,1.000000,1.000000,0.000000,8.000000,0.250000,0.000000,4.000000
159,Cc1ccc(Cl)cc1,126.586000,2.648420,0.000000,0.000000,0.750000,8.000000,1.000000,1.000000,0.000000,1.000000,0.142857,0.000000,0.000000
160,CSc1nnc(c(=O)n1N)C(C)(C)C,214.294000,0.371500,73.800000,1.000000,0.428571,14.000000,1.000000,1.000000,0.000000,6.000000,0.625000,1.000000,5.000000
162,CCCCCC=O,100.161000,1.765600,17.070000,4.000000,0.000000,7.000000,0.000000,0.000000,0.000000,1.000000,0.833333,0.000000,1.000000
164,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,255.277000,2.354520,68.450000,0.000000,0.631579,19.000000,3.000000,2.000000,1.000000,5.000000,0.142857,1.000000,4.000000
166,Clc1ccc(cc1)c2ccccc2Cl ,223.102000,4.660400,0.000000,1.000000,0.857143,14.000000,2.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000
167,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,408.498000,4.343200,75.710000,10.000000,0.400000,30.000000,3.000000,2.000000,1.000000,6.000000,0.375000,1.000000,4.000000
168,CCN(=O)=O,75.067000,0.283000,43.140000,1.000000,0.000000,5.000000,0.000000,0.000000,0.000000,3.000000,1.000000,0.000000,2.000000
172,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,316.485000,4.515300,37.300000,1.000000,0.000000,23.000000,4.000000,0.000000,4.000000,2.000000,0.857143,1.000000,2.000000
174,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,281.352000,1.041500,83.470000,3.000000,0.000000,20.000000,2.000000,0.000000,2.000000,5.000000,0.800000,2.000000,4.000000
176,CC1=CC(=O)CC(C)(C)C1 ,138.210000,2.321800,17.070000,0.000000,0.000000,10.000000,1.000000,0.000000,1.000000,1.000000,0.666667,0.000000,1.000000
178,CCCCC(=O)CCCC,142.242000,2.935900,17.070000,6.000000,0.000000,10.000000,0.000000,0.000000,0.000000,1.000000,0.888889,0.000000,1.000000
179,CCC1(CCC(=O)NC1=O)c2ccccc2 ,217.268000,1.771000,46.170000,2.000000,0.375000,16.000000,2.000000,1.000000,1.000000,3.000000,0.384615,1.000000,2.000000
184,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,333.604000,5.391500,18.460000,5.000000,0.352941,17.000000,1.000000,1.000000,0.000000,7.000000,0.400000,0.000000,3.000000
185,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,312.453000,3.882600,37.300000,0.000000,0.000000,23.000000,4.000000,0.000000,4.000000,2.000000,0.761905,1.000000,2.000000
186,c1ccnnc1,80.090000,0.476600,25.780000,0.000000,1.000000,6.000000,1.000000,1.000000,0.000000,2.000000,0.000000,0.000000,2.000000
187,Clc1cc(Cl)c(Cl)c(Cl)c1,215.894000,4.300200,0.000000,0.000000,0.600000,10.000000,1.000000,1.000000,0.000000,4.000000,0.000000,0.000000,0.000000
188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,414.630000,5.508800,38.690000,0.000000,0.000000,30.000000,6.000000,0.000000,6.000000,3.000000,0.925926,1.000000,3.000000
191,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,279.336000,1.844340,55.840000,5.000000,0.300000,20.000000,1.000000,1.000000,0.000000,5.000000,0.466667,0.000000,4.000000
193,CCC(C)Cl,92.569000,2.023700,0.000000,1.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
194,Oc1ccc2ccccc2c1,144.173000,2.545400,20.230000,0.000000,0.909091,11.000000,2.000000,2.000000,0.000000,1.000000,0.000000,1.000000,1.000000
195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,345.226000,4.217000,57.260000,3.000000,0.500000,22.000000,2.000000,2.000000,0.000000,7.000000,0.466667,0.000000,4.000000
197,CCCCCCCC#C,124.227000,2.980100,0.000000,5.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.777778,0.000000,0.000000
200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,248.307000,1.683800,86.180000,2.000000,0.705882,17.000000,2.000000,2.000000,0.000000,5.000000,0.000000,2.000000,4.000000
202,CC#C,40.065000,0.639500,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000
203,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,298.304000,3.228380,63.840000,7.000000,0.315789,19.000000,1.000000,1.000000,0.000000,7.000000,0.333333,0.000000,6.000000
205,C=CC=O,56.064000,0.371300,17.070000,1.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
207,Oc2ccc1ncccc1c2 ,145.161000,1.940400,33.120000,0.000000,0.909091,11.000000,2.000000,2.000000,0.000000,2.000000,0.000000,1.000000,2.000000
208,Fc1ccccc1,96.104000,1.825700,0.000000,0.000000,0.857143,7.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
211,CCCC(C)(C)C,100.205000,2.832600,0.000000,1.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
213,CC12CCC(CC1)C(C)(C)O2 ,154.253000,2.744100,9.230000,0.000000,0.000000,11.000000,3.000000,0.000000,3.000000,1.000000,1.000000,0.000000,1.000000
214,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,314.466000,4.793800,52.600000,15.000000,0.000000,22.000000,0.000000,0.000000,0.000000,4.000000,0.888889,0.000000,4.000000
215,Clc1ccc(cc1)c2ccc(Cl)cc2 ,223.102000,4.660400,0.000000,1.000000,0.857143,14.000000,2.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000
217,CC(=C)C1CC=C(C)C(=O)C1,150.221000,2.487900,17.070000,1.000000,0.000000,11.000000,1.000000,0.000000,1.000000,1.000000,0.500000,0.000000,1.000000
219,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,588.562000,1.338600,160.830000,5.000000,0.285714,42.000000,7.000000,2.000000,5.000000,13.000000,0.551724,3.000000,13.000000
220,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,252.316000,5.737200,0.000000,0.000000,1.000000,20.000000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
221,Cc1ccc(cc1N(=O)=O)N(=O)=O,182.135000,1.811420,86.280000,2.000000,0.461538,13.000000,1.000000,1.000000,0.000000,6.000000,0.142857,0.000000,4.000000
222,c1c(Br)ccc2ccccc12 ,207.070000,3.602300,0.000000,0.000000,0.909091,11.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
223,CNC(=O)Oc1cccc(N=CN(C)C)c1,221.260000,1.626200,53.930000,3.000000,0.375000,16.000000,1.000000,1.000000,0.000000,5.000000,0.272727,1.000000,3.000000
224,COc2cnc1ncncc1n2,162.152000,0.428400,60.790000,1.000000,0.833333,12.000000,2.000000,2.000000,0.000000,5.000000,0.142857,0.000000,5.000000
225,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,266.304000,2.651220,58.120000,1.000000,0.600000,20.000000,4.000000,2.000000,2.000000,5.000000,0.266667,1.000000,4.000000
228,CC(C)=CCCC(O)(C)C=C,154.253000,2.669800,20.230000,4.000000,0.000000,11.000000,0.000000,0.000000,0.000000,1.000000,0.600000,1.000000,1.000000
230,OC1CCCCC1,100.161000,1.311400,20.230000,0.000000,0.000000,7.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
